Date,Open
12/20/2017,"1,264.80"
12/19/2017,"1,265.40"
12/18/2017,"1,257.80"
12/15/2017,"1,255.50"
12/14/2017,"1,258.10"
12/13/2017,"1,246.30"
12/12/2017,"1,243.90"
12/11/2017,"1,249.20"
12/08/2017,"1,249.50"
12/07/2017,"1,265.20"
12/06/2017,"1,268.30"
12/05/2017,"1,279.10"
12/04/2017,"1,277.60"
12/01/2017,"1,277.90"
11/30/2017,"1,286.90"
11/29/2017,"1,298.00"
11/28/2017,"1,295.80"
11/27/2017,"1,292.00"
11/24/2017,"1,292.80"
11/23/2017,"1,291.90"
11/22/2017,"1,282.10"
11/21/2017,"1,280.00"
11/20/2017,"1,294.50"
11/17/2017,"1,279.90"
11/16/2017,"1,280.50"
11/15/2017,"1,283.30"
11/14/2017,"1,278.00"
11/13/2017,"1,277.00"
11/10/2017,"1,287.50"
11/09/2017,"1,284.70"
11/08/2017,"1,276.10"
11/07/2017,"1,282.70"
11/06/2017,"1,271.10"
11/03/2017,"1,279.30"
11/02/2017,"1,278.40"
11/01/2017,"1,271.60"
10/31/2017,"1,275.10"
10/30/2017,"1,279.80"
10/27/2017,"1,268.00"
10/26/2017,"1,278.60"
10/25/2017,"1,278.00"
10/24/2017,"1,283.90"
10/23/2017,"1,281.50"
10/20/2017,"1,292.00"
10/19/2017,"1,282.80"
10/18/2017,"1,286.90"
10/17/2017,"1,297.20"
10/16/2017,"1,306.00"
10/13/2017,"1,296.00"
10/12/2017,"1,294.60"
10/11/2017,"1,290.70"
10/10/2017,"1,286.80"
10/09/2017,"1,278.60"
10/06/2017,"1,270.60"
10/05/2017,"1,277.50"
10/04/2017,"1,274.50"
10/03/2017,"1,273.10"
10/02/2017,"1,282.20"
09/29/2017,"1,290.10"
09/28/2017,"1,285.10"
09/27/2017,"1,295.40"
09/26/2017,"1,310.80"
09/25/2017,"1,294.70"
09/22/2017,"1,292.30"
09/21/2017,"1,302.00"
09/20/2017,"1,311.90"
09/19/2017,"1,308.40"
09/18/2017,"1,318.60"
09/15/2017,"1,333.00"
09/14/2017,"1,320.00"
09/13/2017,"1,334.10"
09/12/2017,"1,330.50"
09/11/2017,"1,346.00"
09/08/2017,"1,352.20"
09/07/2017,"1,337.80"
09/06/2017,"1,343.70"
09/05/2017,"1,338.10"
09/04/2017,"1,339.70"
09/01/2017,"1,327.30"
08/31/2017,"1,314.80"
08/30/2017,"1,312.30"
08/29/2017,"1,315.60"
08/28/2017,"1,294.10"
08/25/2017,"1,288.10"
08/24/2017,"1,292.50"
08/23/2017,"1,286.90"
08/22/2017,"1,293.20"
08/21/2017,"1,285.50"
08/18/2017,"1,290.70"
08/17/2017,"1,286.00"
08/16/2017,"1,273.80"
08/15/2017,"1,284.20"
08/14/2017,"1,292.90"
08/11/2017,"1,289.50"
08/10/2017,"1,280.20"
08/09/2017,"1,262.70"
08/08/2017,"1,259.80"
08/07/2017,"1,261.40"
08/04/2017,"1,272.00"
08/03/2017,"1,269.00"
08/02/2017,"1,271.70"
08/01/2017,"1,272.40"
07/31/2017,"1,273.00"
07/28/2017,"1,261.90"
07/27/2017,"1,261.30"
07/26/2017,"1,250.70"
